Organisation,Titel,Datum,Location,Description,Link
LifeLong Learning TUM,ON-SITE INFO SESSION | EXECUTIVE MBA IN INNOVATION & BUSINESS CREATION,Montag 28 Apr. 2025 18:00 Uhr – 20:00 Uhr,Info Session – München,In dieser Sitzung werden wir Informationen über den Inhalt und die Struktur des Executive MBA in Innovation & Business Creation geben.,https://www.lll.tum.de/event/executive-mba-in-innovation-business-creation/
LifeLong Learning TUM,VIRTUAL INFO SESSION | LEAN SIX SIGMA YELLOW BELT,Dienstag 29 Apr. 2025 16:00 – 17:00,Info Session – Remote,"Nehmen Sie an unserer Informationsveranstaltung teil, um mehr über das TUM Lean Six Sigma Yellow Belt Zertifizierungsprogramm zu erfahren. Dieses Professional Certificate ist die theoretische Grundlage für den Green Belt und deckt die Grundlagen der Six Sigma-Methodik und der Lean Production zur Qualitäts- und Produktivitätssteigerung ab.",https://www.lll.tum.de/event/lean-six-sigma-yellow-belt/
LifeLong Learning TUM,VIRTUAL INFO SESSION | EXECUTIVE MBA,Mittwoch 30 Apr. 2025 11:00 Uhr – 12:00 Uhr,Info Session – Remote,Unsere virtuelle Info-Session bietet Ihnen eine ausführliche Präsentation & alle wichtigen Information rund um den Executive MBA.,https://www.lll.tum.de/event/executive-mba/
LifeLong Learning TUM,VIRTUAL INFO SESSION | EXECUTIVE MBA,Mittwoch 21 Mai 2025 13:00 Uhr – 14:00 Uhr,Info Session – Remote,Unsere virtuelle Info-Session bietet Ihnen eine ausführliche Präsentation & alle wichtigen Information rund um den Executive MBA.,https://www.lll.tum.de/event/executive-mba/
LifeLong Learning TUM,VIRTUAL INFO SESSION | EXECUTIVE MBA IN INNOVATION & BUSINESS CREATION,Donnerstag 22 Mai 2025 13:00 Uhr – 14:00 Uhr,Info Session – Remote,Unsere virtuelle Info-Session bietet Ihnen eine ausführliche Präsentation unseres Executive MBA in Innovation & Business Creation Programms.,https://www.lll.tum.de/event/executive-mba-in-innovation-business-creation/
LifeLong Learning TUM,VIRTUAL INFO SESSION | EXECUTIVE MBA IN BUSINESS & IT,Freitag 23 Mai 2025 12:00 Uhr – 13:00 Uhr,Info Session – Remote,Unsere virtuelle Info-Session bietet Ihnen eine ausführliche Präsentation & alle wichtigen Information rund um den Executive MBA in Business & IT.,https://www.lll.tum.de/event/executive-mba-in-business-it/
LifeLong Learning TUM,ON-SITE EVENING INFO SESSION,Donnerstag 12 Juni 2025 17:30 Uhr – 21:30 Uhr,Info Session – München,Während der Veranstaltung werden unsere EMBA-Programm-Manager Ihnen alles über unsere drei Executive MBA-Programme erzählen.,https://www.lll.tum.de/event/3-in-1-executive-mba-programs/
LifeLong Learning TUM,VIRTUAL INFO SESSION | EXECUTIVE MBA,Mittwoch 18 Juni 2025 13:00 Uhr – 14:00 Uhr,Info Session – Remote,Unsere virtuelle Info-Session bietet Ihnen eine ausführliche Präsentation & alle wichtigen Information rund um den Executive MBA.,https://www.lll.tum.de/event/executive-mba/
LifeLong Learning TUM,VIRTUAL INFO SESSION | EXECUTIVE MBA IN BUSINESS & IT,Donnerstag 19 Juni 2025 18:00 Uhr – 19:00 Uhr,Info Session – Remote,Unsere virtuelle Info-Session bietet Ihnen eine ausführliche Präsentation & alle wichtigen Information rund um den Executive MBA in Business & IT.,https://www.lll.tum.de/event/executive-mba-in-business-it/
LifeLong Learning TUM,VIRTUAL INFO SESSION | EXECUTIVE MBA IN INNOVATION & BUSINESS CREATION,Donnerstag 26 Juni 2025 13:00 Uhr – 14:00 Uhr,Info Session – Remote,Unsere virtuelle Info-Session bietet Ihnen eine ausführliche Präsentation unseres Executive MBA in Innovation & Business Creation Programms.,https://www.lll.tum.de/event/executive-mba-in-innovation-business-creation/
TUM,IKOM 2025,23.–26.6.,Garching,Abschlussarbeit oder der Einstieg ins Berufsleben? Auf der größten studentischen Karrieremesse bieten sich Einblicke in spannende Unternehmen. Jetzt anmelden!,https://www.tum.de/aktuelles/veranstaltungen/details/ikom-2025
TUM,IKOM Start-up 2025,25.6.,Campus Garching,Auf der IKOM Start-up dreht sich alles um junge Unternehmen und ihre Visionen. Treffen Sie Gründungsteams und sprechen Sie über Ihre Karrierechancen!,https://www.tum.de/aktuelles/veranstaltungen/details/ikom-start-up-2025
TUM Venture Labs,Pitch Perfect 2025,"Sunday, April 27, 2025",,You are a TUM start-up and have developed an innovative product or service? You know exactly what is important when pitching?,https://www.tum-venture-labs.de/events/pitch-perfect-2025/
TUM Venture Labs,Robotics Certification: From Standards to Success,"Tuesday, April 29, 2025 · 8:30 AM","Munich Urban Colab, Freddie-Mercury-Straße 5, 80797 München, Deutschland.",We’re hosting a workshop focused on certification in robotics. The session will cover safety standards for industrial and med-tech robots. The event includes interactive focus groups and more!,https://www.tum-venture-labs.de/events/robotics-certification-from-standards-to-success/
TUM Venture Labs,Open House AM Check-In,"Tuesday, April 29, 2025 · 1:00 PM","Room 7849.EG.302, Ground Floor B2.0.02, Freisinger Landstraße 52, 85748 Garching b. München","Come and join us in our lab, get familiar with our infrastructure and printers, take the opportunity to ask what you want to know about additive manufacturing, and discuss your latest ideas with us to start your AM journey.",https://www.tum-venture-labs.de/events/open-house-am-check-in/
TUM Venture Labs,Founders' regulars' table: Food & Agtech,"Tuesday, April 29, 2025 · 7:00 PM",BayWa Co-Working Space,Exchange for founders/interested parties in Food & AgTech with TUM Venture Lab FAB!,https://www.tum-venture-labs.de/events/founders-regulars-table-food-agtech-3/
TUM Venture Labs,Startup Career Fair,"Tuesday, May 6, 2025 · 10:00 AM",TUM Incubator,"Come join us for the 4th Startup Career Fair to kickstart your career with roles in tech, science & business—don’t miss out!",https://www.tum-venture-labs.de/events/startup-career-fair-5/
TUM Venture Labs,TUM Sustainability Career Day,"Tuesday, May 6, 2025 · 1:00 PM","Uferstraße 53, Straubing",Building your Sustainable Future,https://www.tum-venture-labs.de/events/tum-sustainability-career-day/
TUM Venture Labs,Aerospace Connect,"Tuesday, May 6, 2025 · 5:30 PM","TUM Incubator, Lichtenbergstraße 6, 85748, Garching","Connecting the multi-faceted aerospace ecosystem through a single event, fostering collaboration between academia, startups, industry leader.",https://www.tum-venture-labs.de/events/aerospace-connect-2/
TUM Venture Labs,"SPICE - Special Edition Japan ""Bavarian Night""","Wednesday, May 7, 2025 · 6:30 PM","KUMA Hall: 1-2F, Building 11, Faculty of Engineering, The University of Tokyo, 7-3-1 Hongo, Bunkyo-ku 113-8656","How can the sciencepreneurship ecosystems in Japan and Europe/Germany work together? We are deepening this exchange, this time hosted at the University of Tokyo.",https://www.tum-venture-labs.de/events/spice-special-edition-japan-bavarian-night/
TUM Venture Labs,Open House Session,"Thursday, May 8, 2025 · 11:00 AM","Arcisstr. 21, Munich // Room 2345, 2nd Floor Thierschbau",Ask us anything about entrepreneurship in the built environment!,https://www.tum-venture-labs.de/events/open-house-session/
TUM Venture Labs,Founder Legal Boot Camp 2025: Munich Edition,"Friday, May 9, 2025 · 9:15 AM","Hybrid Event: Join us online via Zoom or in person at TUM: Arcisstraße 21, Munich (Vorhoelzer Forum)","This bootcamp is designed to provide aspiring founders lessons on how to avoid common legal pitfalls and navigate successfully fundraising, hosted by TUM Venture Labs and Orrick.",https://www.tum-venture-labs.de/events/founder-legal-boot-camp-2025-munich/
TUM Venture Labs,11th Munich AMeetUP: AM x CleanTech,"Wednesday, May 14, 2025 · 6:30 PM",Vorhoelzer Forum - Technical University of Munich,"Are you enthusiastic about Additive Manufacturing and do you want to discover the latest AM innovations, learn more about what you can create with 3D printing, and network with other innovators, experts, entrepreneurs in the field of AM?",https://www.tum-venture-labs.de/events/11th-munich-ameetup-am-x-cleantech/
TUM Venture Labs,The Weihenstephan Entrepreneurship Day,"Thursday, May 15, 2025 · 10:00 AM",,Innovation and Financing in the Beverage Industry - the Future starts now.,https://www.tum-venture-labs.de/events/weihenstephaner-unternehmertag/
TUM Venture Labs,FAN Kick OFF,"Thursday, May 15, 2025 · 6:30 PM",,"Dear FAN Alumni, mentor, partner, or expert - We’re excited to invite you to a special evening dedicated to the former and current FAN community and industry experts!",https://www.tum-venture-labs.de/events/fan-kick-off/
TUM Venture Labs,Talent joins growth company,"Monday, May 19, 2025 · 5:00 PM","42 Heilbronn, Weipertstraße 8–10, 74076 Heilbronn",Connecting Startups & Future Tech Talents,https://www.tum-venture-labs.de/events/talent-joins-growth-company/
TUM Venture Labs,Urban Tech Meetup Pitch & Progress (May 2025),"Tuesday, May 20, 2025","Arcisstr. 21, Munich // Room 2345, 2nd Floor Thierschbau",Let's explore the latest innovations in the built environment start-up scene and see the progress our teams made! Join our Team Pitches and Networking!,https://www.tum-venture-labs.de/events/pitch-progress-may-2025/
TUM Venture Labs,2nd Software/AI Start-Up Roundtable,"Wednesday, May 21, 2025 · 6:30 PM",,"An exclusive, informal, and confidential gathering for the member start-ups of the TUM Venture Lab Software/AI.",https://www.tum-venture-labs.de/events/software-ai-start-up-roundtable-2/
TUM Venture Labs,CIRCULAR REPUBLIC Festival 2025,"Thursday, May 22, 2025",Munich Urban Colab + Online,Unlock the Potential of Circular Economy. Future-proof your business.,https://www.tum-venture-labs.de/events/circular-republic-festival-2025/
TUM Venture Labs,PhD Breakfast (May 2025),"Thursday, May 22, 2025","Arcisstr. 21, Munich // Room 2345, 2nd Floor Thierschbau",Your research in dialogue!,https://www.tum-venture-labs.de/events/phd-breakfast-may-2025/
TUM Venture Labs,Startup Lunch,"Wednesday, May 28, 2025 · 11:30 AM",,"We think it's important to stay in touch and know what the daily topics of our startups are. That's why we host a Startup Lunch once a month. This offer is for all candidates, early stage startups, advanced teams and alumni alike.",https://www.tum-venture-labs.de/events/startup-lunch/
TUM Venture Labs,HOPSathon,"Monday, June 2, 2025 · 12:00 AM",Hallertau,The HOPSathon - Innovations for hop growing: The first innovation format for the entire hop value chain in the world's largest hop-growing region!,https://www.tum-venture-labs.de/events/hopsathon/
TUM Venture Labs,Open House Day - TUM Venture Lab FAB,"Wednesday, June 25, 2025 · 3:00 PM",BayWa Co-Working Space,"Join our Open House Day at TUM Venture Lab FAB! Connect with Roman, Lukas and Laurin, get insights and explore opportunities for your startup. Whether you're new or an alumni, don’t miss this chance to network and grow!",https://www.tum-venture-labs.de/events/open-house-day-tum-venture-lab-fab/
TUM Venture Labs,TUM Entrepreneurship Day 2025,"Thursday, June 26, 2025 · 9:00 AM",TUM Main Campus,"On this day, the entire ecosystem comes together to learn about and network on start-up and innovation activities at TUM and UnternehmerTUM and the TUM Venture Labs.",https://www.tum-venture-labs.de/events/tum-entrepreneurship-day-2025/
TUM Venture Labs,Sustainable Maritime Innovation,"Friday, July 18, 2025 · 1:00 PM",Bayerischer Yacht-Club at Startnberger See,#4 Community Event,https://www.tum-venture-labs.de/events/sustainable-maritime-innovation/
TUM Venture Labs,IAA Special: Venture Client Roundtable meets VCs @TUM Venture Labs,"Wednesday, September 10, 2025","Vorhoelzer Forum @TUM (Arcisstr. 21, Munich)","We want to meet on September, 10 during IAA at Vorhoelzer Forum at the Technical University of Munich. This time we will have Investors invited to discuss topics which are of common interest - or not. Stay tuned.",https://www.tum-venture-labs.de/events/iaa-venture-client-roundtable-tum-venture-labs/
TUM Venture Labs,Ultimate European Startup Party @IAA,"Wednesday, September 10, 2025 · 6:30 PM",Marienplatz in Munich,"Let's celebrate all together our European Startup Ecosystem at the center of Munich - the Marienplatz! The event does not cost anything, anyone is welcome.",https://www.tum-venture-labs.de/events/iaa-ultimate-startup-party/
TUM Venture Labs,Public VIewing Autonomous Racing,"Saturday, November 1, 2025 · 12:00 AM",,Public Viewing A2RL,https://www.tum-venture-labs.de/events/public-viewing-autonomous-racing/
TUM Venture Labs,SDV Community,"Thursday, November 13, 2025 · 9:00 AM",Munich Urban Colab,#3 Meetup of the SDV Community around Useblocks,https://www.tum-venture-labs.de/events/sdv-community/
TUM Venture Labs,YEAR's END CELEBRATION,"Thursday, December 11, 2025 · 5:00 PM",,Let's celebrate together looking back at 2025,https://www.tum-venture-labs.de/events/years-end-celebration/
Social Startup hub,LfL InfoTalk: Tier- und naturgestützte Angebote auf dem Bauernhof – das Potential erkennen & nutzen,28. April @ 19:00 – 21:00 CEST,Online,"Tier- und naturgestützte Interventionen bieten viele Chancen für landwirtschaftliche Betriebe und den ländlichen Raum. In einem PraxisTalk erklärt Susanne Anzeneder von InnNatur, wie solche Angebote auf ihrem Hof umgesetzt werden. Sie gibt Einblicke in Herausforderungen, Finanzierung und Marketing. Dabei steht die Trauerbegleitung mit Tieren besonders im Fokus.",https://www.social-startup-hub.de/event/lfl-infotalk/
Social Startup hub,Happy Impact Hour,6. Mai @ 18:00 – 19:00 CEST,Online via Zoom,"Bei unserer Happy Impact Hour erhältst Du nützliche Tools, Tipps und Tricks, um Dein Vorhaben erfolgreich umzusetzen. Dieses Mal erfährst Du alles Wichtige rund um das Thema Wirkungsmanagement für Social Startups. Im Anschluss an den kurzen Impuls hast Du die Möglichkeit, unseren erfahrenen Gründungsberaterinnen Deine Fragen zu stellen und Dich mit den gleichgesinnten Teilnehmenden auszutauschen.",https://www.social-startup-hub.de/event/happy-impact-hour-23/
Social Startup hub,Impact Co-Founder-Matching,12. Mai @ 18:00 – 20:00 CEST,Impact Hub München,"Im Rahmen der Open Hub Week (12.-16. Mai 2025) findet am 12. Mai von 18-20 Uhr das Impact Co-Founder Matching statt. Dich erwartet energiegeladenes Networking, strukturiertes Matching und die Chance, starke Partnerschaften für wirkungsvolle Gründungsideen zu knüpfen. Ob Du eine Idee mitbringst oder Teil eines visionären Projekts werden willst – hier trifft Leidenschaft auf Potenzial.",https://www.social-startup-hub.de/event/munich-impact-co-founder-matching/
Social Startup hub,Kein Titel gefunden,Kein Datum gefunden,Kein Location gefunden,,Kein Link gefunden
Social Startup hub,Bayerische Gründungstage,3. Juni – 5. Juni,Bayernweit,"Vom 3. bis 5. Juni 2025 finden die Bayerischen Gründungstage mit über 60 Events im gesamten Freistaat statt. Initiiert vom Staatsministerium für Wirtschaft, Landesentwicklung und Energie in Zusammenarbeit mit zahlreichen Partnern, fördern sie das Gründungs- und Innovationsumfeld in Bayern. Gründer:innen, Start-ups und Interessierte erwartet eine Plattform zum Informieren, Austauschen und Vernetzen.",https://www.social-startup-hub.de/event/bayerische-gruendungstage/
Social Startup hub,Happy Impact Hour,10. Juni @ 18:00 – 19:00 CEST,Online via Zoom,"Bei unserer Happy Impact Hour erhältst Du nützliche Tools, Tipps und Tricks, um Dein Vorhaben erfolgreich umzusetzen. Dieses Mal gibt Dir Simon Lühr von Sales4Good spannende Einblicke in den Vertrieb von Social Startups. Im Anschluss an den kurzen Impuls hast Du die Möglichkeit, unseren erfahrenen Gründungsberaterinnen Deine Fragen zu stellen und Dich mit den gleichgesinnten Teilnehmenden auszutauschen.",https://www.social-startup-hub.de/event/happy-impact-hour-24/
Social Startup hub,Female Founders Summit 2025,11. Juli @ 13:00 – 23:00 CEST,smartvillage Bogenhausen,"Das Event-Highlight für Female Founders in Deutschland! Vernetze Dich mit führenden Unternehmerinnen & Investor:innen, erhalte wertvolle Insights in Keynotes & Masterclasses und präsentiere Dein Startup vor einer hochkarätigen Jury. Nutze den Code FFS25-seakademie für einen exklusiven Rabatt von 15% auf Dein Ticket!",https://www.social-startup-hub.de/event/female-founders-summit-2025/
Social Startup hub,Munich Startup Festival,16. Juli,Backstage,"Das Munich Startup Festival bietet spannende Speaker und Pitches für alle Gründer:innen, Investor:innen, Studierende und Startup-Interessierte. Nimm an Workshops teil und vernetze Dich mit dem Ökosystem. Triff uns an unserem Stand in der Impact Area!",https://www.social-startup-hub.de/event/munich-startup-festival-3/
Munich Startup,Munich Hacking Legal,26. April : 10:00 Uhr - 27. April : 16:00 Uhr,"Arccisstraße 21, 80333 München Bayern","Munich Hacking Legal is where law meets tech! Hosted by START Munich, the Liquid Legal Institute and LegalTech Colab, this hackathon invites students and professionals from law, tech, and related fields to tackle real challenges in Legal Tech.
You’ll work in mixed teams, collaborate with experts, and create cutting-edge solutions. It’s your chance to network, learn, and shape the future of law through innovation. Whether you’re into law, tech, or both, Munich Hacking Legal wants YOU!
Join us to make real impact and transform the legal world with technology!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/munich-hacking-legal/
Munich Startup,BarCamp: Edge AI and Smart Sensing,29. April,"Hansastr. 27d, 80686 München","Wir laden alle Interessierten herzlich zu unserem BarCamp zum Thema Edge AI und Smart Sensing ein. Organisiert wird die Veranstaltung von der Strategischen Partnerschaft Sensorik e.V., unterstützt vom Bayerischen Chip-Design-Center sowie der Strategischen Initiative Neuromorphes Computing des Fraunhofer IIS.
Das Thema Edge AI und Smart Sensing ist bewusst weit gewählt, um ein breites Publikum anzusprechen. Die Pitches können sowohl Hardware als auch Software oder eingebettete AI-Modelle umfassen. Themen wie neuromorphes Computing, RISC-V, heterogene Integration, AI-Frameworks, federated Learning, Quantisierung von Modellen und ähnliche sind herzlich willkommen. Bringt Eure Ideen, Fragen und Erfahrungen mit und gestaltet gemeinsam mit uns einen inspirierenden Austausch. Wir freuen uns auf spannende Sessions und interessante Diskussionen!
Ein Barcamp, auch Unkonferenz genannt, ist eine offene Veranstaltung, bei der die Teilnehmenden zu Beginn selbst die Themen und den Ablauf festlegen. Diese informellen Workshops fördern Interaktion und kreative Lösungsansätze.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/barcamp-edge-ai-and-smart-sensing/
Munich Startup,Founders‘ regulars‘ table: Food & Agtech,29. April,"Maximus-von-Imhof-Forum 2, 85354 Freising","Throughout the year 2025, the TUM Venture Lab FAB is organising a regulars‘ table for agri-food startups from Munich and the surrounding area and anyone who would like to get in touch with them.
Whether you are a founder, aspiring founder or just interested, everyone is welcome to join our informal dialogue. Stop by, have a cold drink and connect with Munich’s agri-food ecosystem!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/founders-regulars-table-food-agtech-0425/
Munich Startup,gate-Academy: Pitch Perfect – Die Geheimnisse erfolgreicher Investorengespräche,8. Mai,"Lichtenbergstraße 8, 85748 Garching bei München","gate-Academy „Pitch Perfect – Die Geheimnisse erfolgreicher Investorengespräche“ mit Dr. Bernhard Schmid
Du bist Tech-Founder und willst Investoren überzeugen? In diesem live-Workshop erfährst du, was Investoren wirklich von Startups erwarten und welche Fragen sie dir stellen, bevor sie investieren. Sei gespannt auf praxisnahe Einblicke, die dir helfen, dein Startup auf das nächste Level zu heben. Über Do’s und Dont’s aus der Praxis berichtet Dr. Bernhard Schmid.
Inhalte, die dich erwarten:
Bist du bereit, dein Pitch-Deck und Business-Plan so zu gestalten, dass sie Investoren begeistern?
Wie findest du die perfekte Unternehmensbewertung, die nicht nur realistisch, sondern auch überzeugend ist?
Kannst du komplexe Prozesse so erklären, dass selbst Investoren ohne Technik-Hintergrund sofort verstehen, warum dein Startup revolutionär ist?
Wie baust du mit einem durchdachten „Beweismanagement“ Vertrauen auf und zeigst, dass du das Potenzial hast, groß zu werden?
Dr. Bernhard Schmid, CEO bei Global Value Management, ist seit über 25 Jahren als Unternehmer und Manager bei Consulting-/High-Tech-Unternehmen aktiv. In dieser Eigenschaft hat er mehr als 30 Corporate Finance Transaktionen erfolgreich begleitet – von Wachstums-Finanzierungen, Mergers & Acquisitions, Nachfolgeregelungen bis hin zu IPOs.
Nach dem Workshop bleibt bei einem gemeinsamen Mittagessen genug Zeit für`s Netzwerken. Melde dich jetzt über Eventbrite an und sichere dir deinen Platz. Wir freuen uns auf dich!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/gate-academy-pitch-perfect-die-geheimnisse-erfolgreicher-investorengespraeche/
Munich Startup,Online: IP im Fokus – Wirksamer Marken- und Designschutz,8. Mai,,"BIHK-Webinar: IP im Fokus – Wirksamer Marken- und Designschutz
So schützt Ihr Brands und Business mit EU-Unterstützung
Erfahrt, wie Ihr Eure Marken, Designs, Domains und Firmennamen effektiv schützen und dabei von EU-Förderprogrammen profitieren könnt. Das BIHK-Webinar bietet eine Einführung in die wichtigsten Aspekte des geistigen Eigentums sowie detaillierte Informationen zum EUIPO-Förderprogramm „Ideas Powered for Business“, das speziell für kleine und mittlere Unternehmen (KMU) konzipiert wurde.
Meldet Euch jetzt kostenfrei an und sichert Euch wertvolle Einblicke sowie praktische Unterstützung beim Schutz Eurer geistigen Eigentumsrechte!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/online-ip-im-fokus-wirksamer-marken-und-designschutz/
Munich Startup,WERKSACADEMY – Workshops & Training: Sales,8. Mai,"Am Kartoffelgarten 14, 81671 München","Die erste WERKSACADEMY im WERK1 dieses Jahr dreht sich um das stets brandaktuelle Thema Sales.
Workshop-Inhalte:
Sales-Techniken: Erfahre, wie du effektive Verkaufsgespräche führen und potenzielle Kund*innen überzeugen kannst.
Zielgruppenanalyse: Lerne, deine Zielgruppe zu identifizieren und maßgeschneiderte Angebote zu entwickeln.
Pitch-Training: Übe, deinen Pitch zu perfektionieren, um Investoren und Kund*innen gleichermaßen zu begeistern.
Verhandlungsstrategien: Entdecke, wie du erfolgreich verhandeln und Win-Win-Situationen schaffen kannst.
Kundenbeziehungen: Erfahre, wie du langfristige Beziehungen zu deinen Kunden aufbauen und pflegen kannst
Zielgruppe:
Dieser Workshop richtet sich an Gründer*innen, Unternehmer*innen und Teams, die ihre Sales-Techniken verbessern und ihr Startup auf das nächste Level bringen möchten.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/werksacademy-workshops-training-sales/
Munich Startup,Unternehmer:innen live erleben: Bonita Grupp von TRIGEMA,8. Mai,"Heßstraße 89, 80797 München","Unternehmer:innen live erleben: Bonita Grupp von TRIGEMA – Fashion Meets KI
Bonita Grupp zu Gast bei Unternehmer:innen live erleben. Erfahre wie eine innovative Unternehmerin und künstliche Intelligenz die Familiennachfolge bei TRIGEMA prägen. Und natürlich kommt auch der berühmte Affe Charly 2.0 nicht zu kurz. Anschließend beantwortet Bonita Eure Zuschauerfragen!
Bonita Grupp berichtet über ihren Werdegang und ihre Rolle als Geschäftsführerin bei TRIGEMA.
Wir vom SCE freuen uns auf einen spannenden Unternehmer:innen-Abend und laden Euch alle herzlich ein!
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/unternehmerinnen-live-erleben-bonita-grupp-trigema/
Munich Startup,AI Music Summit 2025,12. Mai,"Atelierstraße 1, 81671 München","Der AI Music Summit ist ein exklusives Startup-Event der GEMA in Kooperation mit WISE – und zugleich der Auftakt zur GEMA-Mitgliederversammlung 2025.
Hier treffen sich nicht nur GEMA-Mitglieder, sondern auch Musikschaffende, Tech-Expert:innen, Startups und weitere Akteur:innen aus dem Music-Tech-Ökosystem. Gemeinsam diskutieren wir, wie Künstliche Intelligenz (KI) die Musikbranche verändert – mit Fokus auf technologische Chancen, Innovationen und einem verantwortungsvollen Umgang mit dieser Technologie.
Im Zentrum stehen die Fragen:
Wie kann KI zum kreativen Partner werden – statt zum Ersatz?
Wie sieht die nächste Generation an KI-Tools für Musikschaffende aus?
Was bedeutet Urheberschaft, wenn Maschinen komponieren?
Wie schützen wir geistiges Eigentum im KI-Zeitalter?
Ob du Musik machst, Technologie entwickelst oder zwischen beiden Welten lebst – dieser Summit bietet dir neue Perspektiven, wertvolle Kontakte und konkrete Impulse.
Hier findet Ihr mehr Informationen zu der Veranstaltung.",https://www.munich-startup.de/veranstaltung/ai-music-summit-2025/
